Freight_Number,Origin,Origin_State,Origin_Lat,Origin_Lon,Destination,Destination_State,Destination_Lat,Destination_Lon,Item,Quantity,Cost,Ship_Date,Est_Delivery,Status,UPS_Tracking,Ship_Method
FR-37270,Salt Lake City,UT,40.7608,-111.891,Denver,CO,39.7392,-104.9903,Body Kits,48,1775.61,2026-05-18,2026-05-20,In Transit,1ZVTNAMTRXERGXZJEKW,Ground
FR-27189,Las Vegas,NV,36.1699,-115.1398,Denver,CO,39.7392,-104.9903,Wheels & Tires,36,2313.11,2026-04-11,2026-05-27,In Transit,1ZJYBPTSHKJKASPMPTX,Air
FR-36243,Oklahoma City,OK,35.4676,-97.5164,Austin,TX,30.2672,-97.7431,Engine Parts,49,1618.18,2026-06-04,2026-06-26,Delivered,1ZACWIRWPJUOQEIPKCN,Air
FR-53072,Houston,TX,29.7604,-95.3698,Washington DC,DC,38.9072,-77.0369,Engine Parts,17,216.5,2026-05-16,2026-06-20,In Transit,1ZQVLQMNSLKFBDADAKF,Ground
FR-93503,Houston,TX,29.7604,-95.3698,Salt Lake City,UT,40.7608,-111.891,Body Kits,30,2389.1,2026-04-15,2026-04-16,Delivered,1ZUJWYSNBKHNMDKUTQI,Air
FR-77418,Phoenix,AZ,33.4484,-112.074,Washington DC,DC,38.9072,-77.0369,Exhaust Systems,45,1590.67,2026-03-28,2026-04-23,Delayed,1ZLQXAUFLACVCBVEHHJ,Air
FR-95067,Washington DC,DC,38.9072,-77.0369,Tulsa,OK,36.154,-95.9928,Engine Parts,1,1497.5,2026-05-03,2026-05-10,Delivered,1ZTZATJQOORJPOXWGZM,Air
FR-45738,Austin,TX,30.2672,-97.7431,Oklahoma City,OK,35.4676,-97.5164,Suspension Kits,25,1723.03,2026-05-31,2026-06-11,Delayed,1ZMOOFQNFARZESNOYWP,Ground
FR-83042,Las Vegas,NV,36.1699,-115.1398,Tulsa,OK,36.154,-95.9928,Wheels & Tires,23,1261.24,2026-03-22,2026-04-22,In Transit,1ZHUUMLKYWAOXDUYJTH,Ground
FR-73465,Washington DC,DC,38.9072,-77.0369,Austin,TX,30.2672,-97.7431,Suspension Kits,4,1949.5,2026-05-28,2026-06-18,In Transit,1ZMGBWVJYTZEKEXRHUC,Ground
FR-10542,Tulsa,OK,36.154,-95.9928,Austin,TX,30.2672,-97.7431,Wheels & Tires,28,1268.49,2026-05-24,2026-06-10,Delayed,1ZGXATZXRJBOADCCYZP,Ground
FR-99778,Denver,CO,39.7392,-104.9903,Tulsa,OK,36.154,-95.9928,Engine Parts,8,149.82,2026-05-27,2026-06-05,Delayed,1ZYHWYTAWAMBAIDGDWP,Ground
FR-62852,Washington DC,DC,38.9072,-77.0369,Las Vegas,NV,36.1699,-115.1398,Suspension Kits,10,481.67,2026-03-29,2026-04-24,Delayed,1ZDSWFFNKPKILIUDION,Ground
FR-95199,Washington DC,DC,38.9072,-77.0369,Las Vegas,NV,36.1699,-115.1398,Exhaust Systems,11,1131.56,2026-06-11,2026-06-22,Delayed,1ZYYOFGXLSGHANXJHBR,Air
FR-61205,Houston,TX,29.7604,-95.3698,Tulsa,OK,36.154,-95.9928,Body Kits,28,1830.88,2026-04-30,2026-06-21,In Transit,1ZHPESGYBFZSLRGAHBY,Ground
FR-34583,San Antonio,TX,29.4241,-98.4936,Oklahoma City,OK,35.4676,-97.5164,Wheels & Tires,2,1326.76,2026-05-17,2026-06-01,Delayed,1ZCCIFOHURMAWFJSYHY,Ground
FR-73168,Oklahoma City,OK,35.4676,-97.5164,Dallas,TX,32.7767,-96.797,Wheels & Tires,25,1906.06,2026-03-18,2026-05-22,Delayed,1ZWZKARTFJZNXTWFWQG,Ground
FR-77329,Washington DC,DC,38.9072,-77.0369,Houston,TX,29.7604,-95.3698,Electronics & Lighting,30,530.38,2026-06-02,2026-06-09,Delayed,1ZLOEKIWDOZHAFPWBPZ,Air
FR-14627,Oklahoma City,OK,35.4676,-97.5164,Austin,TX,30.2672,-97.7431,Body Kits,8,2243.85,2026-05-09,2026-05-19,Delivered,1ZEFBZZSODKUZEBBHXW,Air
FR-78607,Las Vegas,NV,36.1699,-115.1398,Oklahoma City,OK,35.4676,-97.5164,Electronics & Lighting,49,2441.32,2026-05-31,2026-06-23,Delivered,1ZTXWPOUVJXUMJKBBUX,Ground
FR-76615,Salt Lake City,UT,40.7608,-111.891,Dallas,TX,32.7767,-96.797,Exhaust Systems,35,788.58,2026-04-29,2026-05-16,Delayed,1ZIEZBLSWKIMSGGWITV,Ground
FR-10190,Salt Lake City,UT,40.7608,-111.891,San Antonio,TX,29.4241,-98.4936,Wheels & Tires,31,158.75,2026-06-06,2026-06-24,Delayed,1ZRDOJRXLQDKTIWINJZ,Air
FR-36101,Washington DC,DC,38.9072,-77.0369,San Antonio,TX,29.4241,-98.4936,Engine Parts,4,1963.18,2026-04-17,2026-05-01,Delivered,1ZUDDHQHWPTYGNVRPHI,Ground
FR-92265,Oklahoma City,OK,35.4676,-97.5164,Salt Lake City,UT,40.7608,-111.891,Engine Parts,24,111.29,2026-05-08,2026-06-04,Delayed,1ZDIKWKPZKLHINJLBBB,Ground
FR-22050,San Antonio,TX,29.4241,-98.4936,Houston,TX,29.7604,-95.3698,Suspension Kits,43,995.14,2026-05-12,2026-05-28,Delivered,1ZZXWGITSCPFNJJXIOO,Ground
FR-65854,Houston,TX,29.7604,-95.3698,Denver,CO,39.7392,-104.9903,Exhaust Systems,3,383.51,2026-04-13,2026-04-23,Delivered,1ZNYIARFWFPLXPANEZL,Air
FR-82942,Dallas,TX,32.7767,-96.797,Denver,CO,39.7392,-104.9903,Body Kits,19,686.03,2026-06-08,2026-06-22,Delayed,1ZNTLGNPZCSHZDZHEKS,Air
FR-54833,Tulsa,OK,36.154,-95.9928,Salt Lake City,UT,40.7608,-111.891,Electronics & Lighting,5,1254.55,2026-04-09,2026-04-21,Delivered,1ZDWOIRYQEXFJXXOZXT,Ground
FR-39381,Houston,TX,29.7604,-95.3698,San Antonio,TX,29.4241,-98.4936,Electronics & Lighting,12,435.99,2026-04-23,2026-06-23,Delivered,1ZBJKYWVDOGDUHUUDIH,Air
FR-96681,Dallas,TX,32.7767,-96.797,Oklahoma City,OK,35.4676,-97.5164,Engine Parts,18,1117.04,2026-04-25,2026-04-26,Delayed,1ZTJZCYHYYULQSMARQR,Air
FR-82148,Denver,CO,39.7392,-104.9903,Salt Lake City,UT,40.7608,-111.891,Engine Parts,4,2464.38,2026-05-07,2026-06-20,Delayed,1ZQORTJZZDRNTIRUHDE,Air
FR-89351,Tulsa,OK,36.154,-95.9928,Salt Lake City,UT,40.7608,-111.891,Suspension Kits,13,755.92,2026-04-06,2026-05-16,In Transit,1ZLCDAIPKONQSMLWXQJ,Ground
FR-32285,Houston,TX,29.7604,-95.3698,Oklahoma City,OK,35.4676,-97.5164,Electronics & Lighting,33,742.9,2026-04-28,2026-05-09,In Transit,1ZMUMVVWWXUABJJYJHE,Air
FR-98937,Tulsa,OK,36.154,-95.9928,Oklahoma City,OK,35.4676,-97.5164,Exhaust Systems,36,747.51,2026-04-18,2026-05-22,Delayed,1ZHHAJWMMCUWZTOTYZG,Ground
FR-74596,Oklahoma City,OK,35.4676,-97.5164,Tulsa,OK,36.154,-95.9928,Electronics & Lighting,39,520.97,2026-06-09,2026-06-18,Delayed,1ZCTZVHGXGTDGFPQCCC,Air
FR-21356,Washington DC,DC,38.9072,-77.0369,San Antonio,TX,29.4241,-98.4936,Body Kits,39,2397.22,2026-04-10,2026-05-07,Delayed,1ZFLLAGCUMGNLMIGFBB,Air
FR-15018,Salt Lake City,UT,40.7608,-111.891,Austin,TX,30.2672,-97.7431,Electronics & Lighting,16,1090.48,2026-04-24,2026-06-06,Delivered,1ZEGNOIRJMSSHMDEUML,Air
FR-53834,Las Vegas,NV,36.1699,-115.1398,Oklahoma City,OK,35.4676,-97.5164,Engine Parts,48,627.96,2026-05-16,2026-06-06,In Transit,1ZLYGDIUJGZYAYDFEGR,Air
FR-37441,Houston,TX,29.7604,-95.3698,San Antonio,TX,29.4241,-98.4936,Wheels & Tires,4,195.71,2026-04-11,2026-05-04,Delayed,1ZLMWFRPFXRPMXUZLGB,Ground
FR-42344,Oklahoma City,OK,35.4676,-97.5164,Las Vegas,NV,36.1699,-115.1398,Exhaust Systems,34,2465.95,2026-05-28,2026-06-21,In Transit,1ZEVYMJHNBERRSSCSKJ,Ground
FR-61562,Washington DC,DC,38.9072,-77.0369,Phoenix,AZ,33.4484,-112.074,Engine Parts,18,607.99,2026-03-27,2026-05-28,Delivered,1ZRPZWXPFCCVPYUBIXX,Air
FR-26967,Salt Lake City,UT,40.7608,-111.891,San Antonio,TX,29.4241,-98.4936,Suspension Kits,37,955.98,2026-04-16,2026-05-11,Delivered,1ZACKPGWCUSTIZOXZIY,Ground
FR-55361,San Antonio,TX,29.4241,-98.4936,Houston,TX,29.7604,-95.3698,Wheels & Tires,39,1422.26,2026-04-23,2026-06-12,Delivered,1ZLNVDGEUFTEQBOCKEZ,Air
FR-47756,Las Vegas,NV,36.1699,-115.1398,Salt Lake City,UT,40.7608,-111.891,Body Kits,47,580.47,2026-03-22,2026-03-22,In Transit,1ZAQCQNQBOUPQMEFFCB,Ground
FR-80849,Phoenix,AZ,33.4484,-112.074,Austin,TX,30.2672,-97.7431,Suspension Kits,7,2167.37,2026-05-15,2026-05-25,Delayed,1ZOMDZYRWKNQUYSLFUE,Air
FR-41771,Oklahoma City,OK,35.4676,-97.5164,San Antonio,TX,29.4241,-98.4936,Exhaust Systems,43,136.08,2026-04-02,2026-04-04,Delivered,1ZSBAAPTCZLFLKDHZDM,Ground
FR-23629,Las Vegas,NV,36.1699,-115.1398,San Antonio,TX,29.4241,-98.4936,Wheels & Tires,45,1304.71,2026-04-22,2026-06-02,Delayed,1ZESSCJDZALKVURHIPA,Ground
FR-17280,Oklahoma City,OK,35.4676,-97.5164,Las Vegas,NV,36.1699,-115.1398,Engine Parts,39,759.07,2026-04-12,2026-06-02,In Transit,1ZSAPFINWTGPKEOFVIA,Ground
FR-93152,Austin,TX,30.2672,-97.7431,Houston,TX,29.7604,-95.3698,Wheels & Tires,7,2378.76,2026-05-27,2026-06-24,In Transit,1ZFIQAOXGXOEJCROZVC,Air
FR-93587,Las Vegas,NV,36.1699,-115.1398,Austin,TX,30.2672,-97.7431,Wheels & Tires,23,2456.53,2026-03-22,2026-04-10,Delivered,1ZPSSHBKOLZGJTHGKAE,Ground
FR-40069,Salt Lake City,UT,40.7608,-111.891,San Antonio,TX,29.4241,-98.4936,Electronics & Lighting,32,667.92,2026-05-15,2026-06-08,Delivered,1ZJNDKMWQRGGCFJQHOT,Air
FR-31629,Dallas,TX,32.7767,-96.797,Phoenix,AZ,33.4484,-112.074,Electronics & Lighting,20,546.76,2026-06-09,2026-06-17,In Transit,1ZBQXISIKYKQNSJKNSZ,Ground
FR-13088,Austin,TX,30.2672,-97.7431,Oklahoma City,OK,35.4676,-97.5164,Exhaust Systems,31,1826.93,2026-05-26,2026-06-27,In Transit,1ZIKLUKNUTRQMQZRXQB,Ground
FR-71282,Denver,CO,39.7392,-104.9903,Tulsa,OK,36.154,-95.9928,Exhaust Systems,30,903.53,2026-04-21,2026-06-11,In Transit,1ZYJAIPSUMOESGORDLK,Ground
FR-57997,Houston,TX,29.7604,-95.3698,San Antonio,TX,29.4241,-98.4936,Electronics & Lighting,43,613.47,2026-04-03,2026-06-21,In Transit,1ZFFNFLJVRAIBHLFFCU,Air
FR-84957,Tulsa,OK,36.154,-95.9928,Houston,TX,29.7604,-95.3698,Exhaust Systems,1,789.34,2026-03-21,2026-05-22,In Transit,1ZUYBZASSBVXHBMRZDU,Ground
FR-53247,Oklahoma City,OK,35.4676,-97.5164,Houston,TX,29.7604,-95.3698,Wheels & Tires,14,1263.53,2026-05-16,2026-06-25,Delivered,1ZQXGDBSHYYZGOSCKIP,Air
FR-96351,Washington DC,DC,38.9072,-77.0369,Phoenix,AZ,33.4484,-112.074,Body Kits,16,1019.94,2026-04-07,2026-06-26,Delivered,1ZXQUCRAPMWSMERANWG,Air
FR-11791,Las Vegas,NV,36.1699,-115.1398,Austin,TX,30.2672,-97.7431,Wheels & Tires,33,2318.07,2026-04-15,2026-04-22,In Transit,1ZPBUCKVFXZHGIUJLMA,Ground
